idno,GEN,AGE,EDU,JOBS,JOBS1,JOBS2,INCOME,region,pspwght,regions,FW1,FW3,FW7,FW9,FW10,FW11,FW2,FW12,FW13,FW4,FW5,FW6,FW8,FW14
11403,2,73,2,66,0,0,5,BE21,1.284411148,0,3,4,4,2,5,5,4,5,4,9,9,7,8,9
11404,1,80,6,66,0,0,6,BE21,0.850930719,0,5,3,3,3,3,5,2,5,3,8,8,6,5,4
11406,2,53,2,66,0,0,1,BE21,1.287695537,0,4,4,3,4,4,5,3,4,4,7,7,7,7,5
11409,2,84,1,66,0,0,5,BE21,1.284411148,0,5,3,4,4,4,4,2,4,3,7,7,7,5,5
11501,1,59,6,7,0,1,9,BE21,0.850930719,0,4,4,3,2,3,3,3,3,2,6,6,6,4,4
11502,2,36,7,10,0,1,7,BE21,0.855294341,0,4,5,5,4,5,4,4,5,2,10,10,10,7,5
11504,1,54,4,8,0,1,5,BE21,0.85715235,0,5,4,5,4,4,4,4,4,4,8,8,8,7,6
11509,1,66,2,66,0,0,5,BE21,1.28112585,0,4,4,5,2,4,5,2,5,2,8,8,7,5,2
11601,2,20,4,66,0,0,6,BE21,0.862898819,0,4,4,4,5,4,3,4,4,4,8,8,8,5,5
11602,2,28,7,7,0,1,5,BE21,0.858825994,0,5,4,5,3,4,2,2,5,2,9,9,8,8,8
11603,1,42,6,5,1,0,7,BE21,0.853106648,0,2,5,4,5,4,5,4,3,4,10,10,10,6,9
11605,1,62,1,66,0,0,3,BE21,1.28112585,0,5,5,5,4,4,4,3,4,4,8,7,8,6,5
11608,2,35,6,9,0,1,6,BE21,0.855294341,0,5,4,4,3,4,3,4,4,3,7,7,8,7,5
11609,2,47,4,2,1,0,5,BE21,0.859350418,0,4,3,4,2,3,4,4,2,4,7,7,7,6,8
11704,2,44,4,66,0,0,,BE21,0.859350418,0,4,4,4,4,4,4,4,5,3,8,8,8,8,5
11705,2,63,4,66,0,0,7,BE21,0.857158564,0,4,4,4,2,4,4,4,2,2,8,8,8,7,6
11706,2,74,4,66,0,0,3,BE21,0.857158564,0,4,4,4,3,3,4,4,5,4,7,7,7,8,8
11708,2,81,2,66,0,0,6,BE21,1.284411148,0,5,4,4,4,4,4,4,5,4,8,8,8,7,8
11709,2,21,4,66,0,0,4,BE21,0.862898819,0,5,4,4,2,3,4,4,3,3,7,10,10,8,5
