idno,GEN,AGE,EDU,JOBS,JOBS1,JOBS2,INCOME,region,pspwght,regions,FW1,FW3,FW7,FW9,FW10,FW11,FW2,FW12,FW13,FW4,FW5,FW6,FW8,FW14
14902,2,33,4,66,0,0,8,BE21,0.862898819,0,4,3,3,4,4,4,2,4,4,8,8,8,6,7
14903,2,40,6,66,0,0,7,BE21,0.855294341,0,4,4,4,4,3,5,3,4,4,8,8,8,7,7
14905,1,59,2,66,0,0,6,BE21,1.28112585,0,4,4,4,2,4,3,4,4,4,7,5,6,7,7
14907,1,77,3,66,0,0,7,BE21,0.854966103,0,4,3,3,4,3,4,2,5,3,8,8,8,5,5
14908,2,26,4,3,1,0,7,BE21,0.862898819,0,4,3,4,4,3,3,4,4,4,7,7,6,8,4
15001,1,18,2,66,0,0,,BE21,1.289705347,0,5,4,4,4,4,4,4,4,4,9,9,10,8,7
15002,1,27,6,8,0,1,7,BE21,0.856629268,0,4,4,4,4,4,4,4,5,4,8,8,9,8,7
15003,1,43,7,9,0,1,7,BE21,0.853106648,0,5,5,4,5,4,5,4,5,4,8,8,8,8,8
15004,1,54,2,9,0,1,,BE21,1.284401837,0,4,4,4,4,4,4,4,4,2,8,8,9,8,7
15006,2,36,6,7,0,1,6,BE21,0.855294341,0,4,4,4,3,4,3,3,2,3,9,9,8,6,5
15007,1,48,4,7,0,1,9,BE21,0.85715235,0,3,3,3,2,2,2,4,2,3,6,6,6,4,5
15009,2,67,1,66,0,0,1,BE21,1.284411148,0,5,4,4,5,4,4,3,4,4,9,9,9,7,9
15102,1,29,3,66,0,0,1,BE21,0.860691675,0,4,3,4,4,4,4,2,3,2,7,6,6,5,4
15103,2,44,6,66,0,0,8,BE21,0.855294341,0,5,4,4,4,4,4,3,4,3,8,8,8,8,5
15106,2,72,5,66,0,0,,BE21,0.857158564,0,5,4,4,3,4,4,3,4,4,10,10,9,9,8
15107,2,84,1,66,0,0,,BE21,1.284411148,0,3,2,3,2,2,3,1,4,3,5,5,5,5,5
15108,2,36,3,3,1,0,7,BE21,0.859350418,0,5,4,4,4,4,4,3,2,3,8,9,10,9,8
15201,2,25,6,8,0,1,8,BE21,0.858825994,0,4,4,4,3,4,2,2,2,2,8,8,8,7,7
15202,2,33,6,9,0,1,4,BE21,0.858825994,0,4,4,4,4,4,4,4,5,4,8,7,7,8,8
15203,2,41,6,9,0,1,8,BE21,0.855294341,0,5,5,5,4,4,4,5,4,4,9,9,10,9,9
15204,1,52,3,66,0,0,3,BE21,0.85715235,0,4,2,4,4,2,4,2,4,3,5,6,7,6,5
15205,1,58,2,9,0,1,7,BE21,1.28112585,0,3,4,4,4,3,3,4,3,3,9,9,9,7,6
15208,1,16,2,66,0,0,9,BE21,1.289705347,0,4,3,4,4,4,4,4,4,4,8,8,9,9,4
15209,1,47,4,8,0,1,4,BE21,0.85715235,0,5,3,3,3,4,4,3,4,3,6,6,6,5,5
15301,1,16,2,66,0,0,8,BE21,1.289705347,0,4,4,4,4,4,4,4,4,4,6,6,6,6,5
15302,2,34,6,9,0,1,9,BE21,0.858825994,0,4,3,4,3,4,3,4,4,3,6,7,6,7,5
15303,2,41,6,9,0,1,9,BE21,0.855294341,0,5,4,4,4,4,4,4,5,3,8,8,8,7,5
15305,1,59,1,66,0,0,5,BE21,1.28112585,0,4,4,4,4,4,4,2,4,4,8,8,8,6,6
15306,1,67,1,66,0,0,2,BE21,1.28112585,0,5,4,4,5,4,4,2,5,4,9,8,8,8,7
15307,1,77,1,66,0,0,2,BE21,1.28112585,0,4,4,4,4,4,5,2,5,2,8,8,8,8,5
15308,2,26,6,9,0,1,7,BE21,0.858825994,0,4,4,4,3,3,3,4,4,4,9,8,8,7,4
15309,2,48,2,8,0,1,4,BE21,1.287695537,0,5,4,4,4,4,4,3,4,4,8,8,8,6,6
15402,1,26,6,7,0,1,8,BE21,0.856629268,0,4,4,4,5,3,5,4,4,3,9,9,9,9,9
15403,1,41,4,9,0,1,8,BE21,0.85715235,0,5,4,4,4,4,4,3,5,5,8,8,9,7,8
15404,1,47,5,9,0,1,8,BE21,0.85715235,0,5,5,5,5,5,5,4,4,4,9,9,9,8,8
15405,1,59,4,66,0,0,8,BE21,0.854966103,0,4,4,4,4,4,4,4,5,4,10,10,10,10,8
15406,2,67,6,66,0,0,7,BE21,0.853112833,0,3,3,4,2,3,3,3,2,4,8,8,8,7,7
15407,2,34,6,8,0,1,9,BE21,0.858825994,0,4,4,4,4,4,4,4,4,4,8,8,8,8,6
15408,1,53,2,9,0,1,5,BE21,1.284401837,0,4,4,4,4,3,4,4,2,4,8,7,8,8,8
15501,2,20,5,66,0,0,,BE21,0.862898819,0,4,4,4,3,3,4,4,4,4,6,7,6,7,4
15503,2,42,2,9,0,1,7,BE21,1.287695537,0,4,4,3,4,3,3,3,3,3,7,7,8,6,5
15505,2,60,5,66,0,0,6,BE21,0.857158564,0,4,4,4,3,4,4,4,4,4,9,9,9,8,7
15506,2,67,3,66,0,0,6,BE21,0.857158564,0,4,4,4,3,3,3,4,3,2,7,7,8,6,4
15509,1,48,6,8,0,1,6,BE21,0.853106648,0,4,4,4,2,4,4,4,3,5,9,7,8,8,4
15601,1,19,4,66,0,0,,BE21,0.860691675,0,5,4,4,4,4,4,2,3,3,5,5,5,7,6
15602,2,28,6,9,0,1,8,BE21,0.858825994,0,5,4,4,3,3,3,2,4,4,8,8,8,8,8
15604,1,54,4,8,0,1,8,BE21,0.85715235,0,4,4,4,4,4,4,4,5,4,7,7,7,5,7
15605,2,61,3,66,0,0,2,BE21,0.857158564,0,5,4,5,3,4,1,4,1,3,8,8,9,9,7
15606,1,68,4,66,0,0,6,BE21,0.854966103,0,5,4,3,2,4,3,1,4,1,8,8,8,8,8
15607,2,80,1,66,0,0,3,BE21,1.284411148,0,4,4,4,4,4,4,3,4,4,10,9,9,8,6
15608,1,35,3,8,0,1,7,BE21,0.85715235,0,4,1,4,4,4,4,5,4,4,8,8,9,8,7
15701,1,21,4,8,0,1,,BE21,0.860691675,0,3,5,1,4,4,4,5,4,4,8,7,8,5,6
15702,2,28,4,66,0,0,9,BE21,0.862898819,0,4,3,4,4,4,3,4,4,4,8,8,8,5,5
15703,1,43,7,8,0,1,9,BE21,0.853106648,0,4,4,4,3,4,4,4,4,4,7,8,7,6,7
15704,1,54,2,8,0,1,,BE21,1.284401837,0,3,4,4,4,4,4,3,4,3,7,6,7,5,5
15705,2,60,2,66,0,0,1,BE21,1.284411148,0,5,4,4,4,4,4,3,5,3,8,8,8,5,3
15706,1,68,7,66,0,0,7,BE21,0.850930719,0,4,4,4,4,4,4,4,4,4,8,8,8,8,7
15707,2,86,1,66,0,0,2,BE21,1.284411148,0,4,4,4,4,4,4,4,5,3,8,8,8,5,7
15801,2,23,6,66,0,0,5,BE21,0.858825994,0,4,3,4,4,3,3,4,4,4,8,8,7,7,5
15802,1,31,7,7,0,1,7,BE21,0.856629268,0,4,4,5,3,5,3,3,4,5,10,10,10,4,6
15803,2,45,6,8,0,1,9,BE21,0.855294341,0,4,4,3,4,4,4,4,4,5,9,8,7,7,7
15805,2,63,6,66,0,0,3,BE21,0.853112833,0,5,5,4,2,5,4,4,2,4,8,9,8,9,5
15807,2,88,1,66,0,0,3,BE21,1.284411148,0,5,3,4,4,3,4,3,5,3,5,5,5,5,5
15808,2,39,6,9,0,1,5,BE21,0.855294341,0,5,4,4,4,4,4,4,4,3,8,8,8,7,5
15809,2,57,6,66,0,0,4,BE21,0.853112833,0,4,4,4,5,4,4,4,4,4,8,8,7,6,6
15901,2,34,6,9,0,1,7,BE21,0.858825994,0,5,4,4,4,4,4,4,5,3,7,7,8,8,4
15902,1,41,4,9,0,1,6,BE21,0.85715235,0,5,4,4,4,4,4,2,5,4,7,8,7,5,5
15903,2,53,4,8,0,1,8,BE21,0.859350418,0,4,3,4,4,3,3,4,3,4,7,7,7,7,6
15904,2,59,4,66,0,0,3,BE21,0.857158564,0,5,4,4,3,4,4,2,4,4,7,7,7,6,4
15908,2,47,4,66,0,0,6,BE21,0.859350418,0,5,4,4,3,3,2,4,4,4,8,8,7,6,5
15909,1,16,2,66,0,0,9,BE21,1.289705347,0,4,4,4,4,4,4,4,3,4,8,6,7,8,7
20101,2,24,6,8,0,1,6,BE24,0.858825994,0,5,5,5,5,5,5,5,5,5,7,9,8,7,8
20104,1,59,2,9,0,1,9,BE24,1.28112585,0,2,4,4,4,4,4,4,4,4,8,8,8,7,6
20106,2,17,1,7,0,1,10,BE24,1.293012647,0,3,1,3,2,3,1,4,2,2,8,6,7,5,5
20201,2,29,7,8,0,1,8,BE24,0.858825994,0,5,4,5,5,4,4,4,4,4,8,8,8,7,7
20202,2,85,1,66,0,0,,BE24,1.284411148,0,5,4,5,1,4,1,5,5,4,7,7,7,5,5
20204,2,57,3,66,0,0,1,BE24,0.857158564,0,4,4,4,2,4,3,2,4,2,6,4,7,4,3
20207,1,65,3,10,0,1,8,BE24,0.854966103,0,5,5,5,5,4,5,5,5,4,10,10,10,10,8
20208,1,74,4,66,0,0,5,BE24,0.854966103,0,4,4,4,4,4,4,4,2,2,6,7,8,5,5
20209,1,45,5,66,0,0,4,BE24,0.853106648,0,4,4,5,4,4,5,3,5,4,8,8,7,8,8
20301,1,18,3,66,0,0,4,BE24,0.860691675,0,4,3,3,4,4,3,2,2,4,8,7,9,7,4
20303,2,40,3,5,1,0,5,BE24,0.859350418,0,5,5,5,5,4,5,1,5,5,8,8,8,9,4
20304,1,60,2,66,0,0,6,BE24,1.28112585,0,4,4,4,3,4,4,3,4,3,8,8,8,7,7
20308,2,68,4,66,0,0,6,BE24,0.857158564,0,4,4,4,5,4,4,3,5,3,8,9,9,7,6
20309,2,53,3,7,0,1,5,BE24,0.859350418,0,4,4,4,4,4,4,4,3,4,6,6,5,4,5
20401,1,22,4,66,0,0,10,BE24,0.860691675,0,4,3,2,2,4,3,2,2,3,6,6,7,7,6
20403,2,45,7,7,0,1,10,BE24,0.855294341,0,4,4,4,4,4,4,3,5,4,7,8,8,5,4
20406,1,74,6,66,0,0,5,BE24,0.850930719,0,5,4,4,4,3,4,2,4,4,5,5,6,5,5
20408,2,39,6,6,0,1,9,BE24,0.855294341,0,5,4,4,5,4,4,4,4,5,8,8,8,7,6
20501,2,17,2,66,0,0,,BE24,1.293012647,0,4,4,4,4,4,4,5,4,5,8,8,8,7,7
20502,1,34,6,8,0,1,8,BE24,0.856629268,0,4,4,4,3,3,3,4,4,1,8,7,7,7,5
20504,2,53,6,8,0,1,4,BE24,0.855294341,0,5,5,4,4,4,4,5,5,4,9,9,9,8,8
20506,1,68,4,66,0,0,4,BE24,0.854966103,0,4,4,5,5,4,5,4,4,4,8,8,9,8,8
20507,1,78,1,66,0,0,6,BE24,1.28112585,0,4,4,4,5,3,3,3,4,2,6,7,6,6,7
20508,2,26,4,10,0,1,,BE24,0.862898819,0,5,4,5,3,4,4,2,3,4,9,9,9,8,8
20509,1,47,4,7,0,1,7,BE24,0.85715235,0,4,4,4,2,4,2,2,4,2,6,6,7,6,5
20604,1,58,7,4,1,0,7,BE24,0.850930719,0,4,4,3,2,4,2,3,2,1,7,7,9,7,5
20606,1,15,1,66,0,0,6,BE24,1.289705347,0,5,3,4,4,4,4,4,3,3,8,8,8,8,7
20607,1,47,6,66,0,0,7,BE24,0.853106648,0,4,4,4,3,4,4,4,2,2,8,8,8,6,3
20701,2,19,4,66,0,0,9,BE24,0.862898819,0,4,4,4,4,4,4,4,4,4,8,8,8,7,7
20702,1,34,7,3,1,0,,BE24,0.856629268,0,2,2,3,3,4,3,2,4,2,7,7,7,6,4
20703,1,41,5,10,0,1,3,BE24,0.85715235,0,1,5,1,3,5,5,2,5,5,10,9,8,8,9
20705,1,60,2,8,0,1,6,BE24,1.28112585,0,4,4,4,4,4,4,4,4,4,9,9,9,8,9
20706,1,68,2,66,0,0,9,BE24,1.28112585,0,4,4,4,5,3,4,4,4,4,8,8,8,6,5
20707,1,80,2,66,0,0,4,BE24,1.28112585,0,4,3,4,4,4,2,4,5,2,6,6,7,6,5
20802,1,30,4,10,0,1,10,BE24,0.860691675,0,5,5,5,5,4,4,5,3,5,10,10,10,8,7
20803,2,38,7,8,0,1,,BE24,0.855294341,0,4,3,4,2,3,2,4,5,3,7,7,5,5,5
20804,2,50,2,66,0,0,7,BE24,1.287695537,0,2,4,5,1,4,2,4,3,2,10,10,10,9,5
20806,2,88,1,66,0,0,,BE24,1.284411148,0,4,3,3,4,3,5,,5,3,7,7,7,5,6
20808,1,56,3,8,0,1,,BE24,0.854966103,0,4,4,4,4,4,4,4,2,3,7,10,8,7,6
20809,1,73,2,66,0,0,8,BE24,1.28112585,0,4,4,4,3,4,4,3,5,2,6,5,7,6,5
20901,1,24,6,10,0,1,9,BE24,0.856629268,0,4,4,3,2,3,3,4,2,4,10,10,10,10,8
20902,1,40,6,6,0,1,7,BE24,0.853106648,0,4,4,5,4,4,5,2,5,2,8,8,8,8,3
20909,1,59,1,66,0,0,2,BE24,1.28112585,0,5,4,4,5,5,5,2,5,4,8,8,8,9,8
21005,2,31,7,9,0,1,9,BE24,0.858825994,0,4,4,4,5,3,3,4,3,4,8,9,9,8,6
21006,2,39,6,9,0,1,8,BE24,0.855294341,0,4,4,3,4,4,2,4,2,2,7,7,7,5,7
21008,2,63,2,66,0,0,3,BE24,1.284411148,0,3,5,5,3,4,3,4,3,4,8,8,8,8,8
21101,2,19,3,66,0,0,5,BE24,0.862898819,0,4,4,4,4,3,3,4,4,2,8,6,6,7,5
21103,2,41,7,7,0,1,7,BE24,0.855294341,0,5,4,4,5,4,5,4,5,4,8,8,8,8,7
21104,2,53,5,8,0,1,9,BE24,0.855294341,0,5,2,4,4,4,3,2,4,3,7,7,7,7,5
21105,2,60,1,66,0,0,2,BE24,1.284411148,0,5,5,5,5,5,4,1,4,2,7,8,8,8,8
21107,2,82,4,66,0,0,10,BE24,0.857158564,0,4,4,4,4,4,4,4,4,4,7,7,7,6,7
21203,2,55,4,6,0,1,7,BE24,0.857158564,0,5,4,4,5,4,5,2,4,4,8,8,9,7,8
21205,1,80,7,66,0,0,5,BE24,0.850930719,0,5,4,5,2,5,4,4,5,4,7,9,8,5,7
21206,1,35,6,9,0,1,8,BE24,0.853106648,0,4,4,4,3,3,3,4,4,3,10,10,9,8,5
21207,1,49,4,8,0,1,6,BE24,0.85715235,0,4,4,4,4,3,4,4,4,4,8,8,8,7,6
21208,2,18,4,66,0,0,8,BE24,0.862898819,0,4,3,3,3,3,3,4,2,2,7,7,7,7,5
21209,2,62,6,66,0,0,4,BE24,0.853112833,0,4,4,4,2,3,2,2,3,1,8,9,8,8,3
21301,1,22,4,10,0,1,7,BE24,0.860691675,0,4,4,4,4,4,4,3,3,4,8,8,8,6,7
21302,1,30,6,9,0,1,8,BE24,0.856629268,0,4,5,4,3,4,3,4,4,5,8,8,8,8,4
21305,1,62,1,66,0,0,8,BE24,1.28112585,0,5,4,4,4,4,4,2,4,2,8,7,9,6,3
21306,1,71,2,7,0,1,3,BE24,1.28112585,0,4,4,4,3,3,4,3,3,2,7,7,8,6,5
21307,1,84,1,66,0,0,,BE24,1.28112585,0,4,2,4,4,2,4,2,4,4,5,5,5,7,4
21308,2,38,6,7,0,1,9,BE24,0.855294341,0,4,5,5,5,5,5,4,5,5,9,9,9,5,5
21401,1,20,4,66,0,0,3,BE24,0.860691675,0,4,4,4,4,4,4,4,4,4,8,8,9,9,6
21406,2,70,4,66,0,0,5,BE24,0.857158564,0,5,3,3,2,4,4,4,5,3,8,8,5,7,5
21407,2,81,4,66,0,0,8,BE24,0.857158564,0,4,4,4,4,4,4,4,4,4,10,10,10,10,8
21409,2,56,4,9,0,1,5,BE24,0.857158564,0,3,3,4,3,4,3,4,4,4,8,10,8,5,5
21501,2,19,4,66,0,0,6,BE24,0.862898819,0,4,3,4,3,3,3,3,2,2,7,7,8,7,8
21502,1,28,,5,1,0,6,BE24,1.001842594,0,4,5,5,5,5,4,2,4,1,10,10,10,5,5
21503,2,43,6,6,0,1,9,BE24,0.855294341,0,3,4,4,3,3,3,2,3,2,8,7,8,2,3
21504,2,55,4,9,0,1,4,BE24,0.857158564,0,4,3,3,3,3,4,4,3,2,8,8,7,3,4
21505,2,61,2,66,0,0,1,BE24,1.284411148,0,5,4,5,4,4,4,4,4,4,8,8,8,6,8
21507,1,81,2,66,0,0,4,BE24,1.28112585,0,5,4,4,4,3,3,2,5,4,8,8,8,8,5
21508,2,36,4,10,0,1,8,BE24,0.859350418,0,5,4,4,4,4,3,4,4,4,9,9,9,7,7
21601,1,21,4,66,0,0,5,BE24,0.860691675,0,5,3,3,5,3,4,3,4,4,6,6,7,6,6
21602,2,29,6,8,0,1,7,BE24,0.858825994,0,5,4,4,4,4,4,4,5,4,8,9,9,8,8
21603,2,43,7,7,0,1,8,BE24,0.855294341,0,4,4,4,3,3,4,4,4,3,7,8,8,7,5
21604,2,49,6,9,0,1,10,BE24,0.855294341,0,4,4,5,4,4,4,4,5,4,9,9,9,8,7
21605,2,62,2,66,0,0,1,BE24,1.284411148,0,4,2,4,2,2,4,4,2,2,7,6,7,4,6
21606,1,71,4,66,0,0,6,BE24,0.854966103,0,5,5,3,3,4,4,2,4,3,8,8,6,5,3
21608,1,36,6,9,0,1,5,BE24,0.853106648,0,4,4,4,4,4,4,4,4,4,8,7,7,7,7
21609,2,55,2,9,0,1,4,BE24,1.284411148,0,5,4,4,4,4,4,4,4,4,7,7,7,5,6
21701,1,26,5,10,0,1,6,BE24,0.860691675,0,4,4,4,4,4,4,4,4,5,9,8,8,8,7
21702,1,53,6,8,0,1,10,BE24,0.853106648,0,5,4,4,4,4,4,4,5,5,7,8,8,7,7
21706,1,48,7,9,0,1,10,BE24,0.853106648,0,4,4,4,5,4,4,5,4,4,8,9,8,6,5
21707,2,18,4,66,0,0,9,BE24,0.862898819,0,2,4,4,4,4,2,3,2,4,8,9,9,7,8
21708,2,42,6,5,1,0,8,BE24,0.855294341,0,2,4,4,2,3,2,2,2,1,7,7,7,5,3
21801,1,71,2,66,0,0,4,BE24,1.28112585,0,4,3,4,4,4,4,4,4,3,7,7,7,6,6
21802,2,83,2,66,0,0,,BE24,1.284411148,0,5,,4,4,4,4,,5,,9,9,9,,8
21804,1,44,7,8,0,1,9,BE24,0.853106648,0,4,4,4,4,4,4,4,4,3,8,7,7,7,6
21805,2,50,4,66,0,0,1,BE24,0.859350418,0,5,4,4,4,4,4,3,4,3,7,7,7,6,6
21806,2,62,4,66,0,0,3,BE24,0.857158564,0,5,5,4,4,4,4,1,4,4,7,7,7,3,6
21807,2,37,7,9,0,1,9,BE24,0.855294341,0,5,4,4,4,4,3,4,4,4,7,8,7,7,6
21809,1,21,5,4,1,0,10,BE24,0.860691675,0,3,3,3,3,2,4,4,2,4,8,7,7,6,6
21905,1,58,6,8,0,1,8,BE24,0.850930719,0,4,4,4,4,4,4,4,4,4,8,8,8,8,7
21906,2,66,7,66,0,0,9,BE24,0.853112833,0,3,4,4,2,4,2,5,4,4,10,10,8,6,3
21907,1,76,7,66,0,0,7,BE24,0.850930719,0,5,5,4,5,4,4,3,5,4,8,8,8,8,8
21909,2,46,6,8,0,1,7,BE24,0.855294341,0,5,4,4,5,4,4,4,4,4,8,8,8,7,7
22001,1,20,4,66,0,0,,BE24,0.860691675,0,4,4,4,4,3,4,3,3,2,7,6,8,5,7
22003,2,44,2,7,0,1,7,BE24,1.287695537,0,4,4,4,3,4,4,3,3,3,7,7,7,7,4
22008,1,38,7,8,0,1,8,BE24,0.853106648,0,4,4,4,4,4,4,4,4,4,7,7,7,7,6
22009,2,56,7,9,0,1,10,BE24,0.853112833,0,4,1,5,4,4,4,5,3,4,9,9,9,9,7
22104,2,51,5,7,0,1,4,BE24,0.859350418,0,4,4,4,4,,4,4,4,4,8,8,8,6,8
22108,1,45,4,9,0,1,9,BE24,0.85715235,0,5,4,5,4,4,4,4,4,4,8,8,8,8,7
22201,1,28,2,5,1,0,8,BE24,1.289705347,0,5,4,3,4,4,3,3,4,2,6,6,5,6,5
22202,2,44,4,6,0,1,10,BE24,0.859350418,0,4,4,4,4,3,3,4,2,4,7,7,7,6,6
22203,1,55,4,8,0,1,8,BE24,0.854966103,0,4,4,4,4,5,4,4,4,4,8,8,8,8,7
22204,1,61,4,10,0,1,9,BE24,0.854966103,0,5,4,5,4,4,4,4,4,4,9,9,9,9,7
22205,1,70,7,9,0,1,7,BE24,0.850930719,0,3,4,5,4,4,5,2,2,4,9,9,9,8,8
22206,1,37,4,7,0,1,6,BE24,0.85715235,0,3,4,2,4,4,3,3,2,3,8,8,7,6,2
22209,2,81,2,66,0,0,2,BE24,1.284411148,0,4,4,4,4,4,4,3,5,2,9,9,9,5,4
22303,2,53,3,8,0,1,6,BE24,0.859350418,0,4,4,4,4,3,4,4,4,2,7,7,7,6,6
22306,2,22,6,66,0,0,,BE24,0.858825994,0,4,3,4,4,4,4,4,3,4,10,9,9,10,7
22309,2,50,7,9,0,1,10,BE24,0.855294341,0,5,4,5,3,4,4,5,4,5,10,10,10,9,8
22401,2,60,2,8,0,1,7,BE24,1.284411148,0,5,4,4,4,3,3,5,3,4,8,9,9,9,7
22404,1,19,4,66,0,0,,BE24,0.860691675,0,4,3,4,4,5,5,4,5,4,10,10,10,10,8
22405,1,68,4,66,0,0,4,BE24,0.854966103,0,5,4,4,4,4,4,2,4,1,9,9,9,3,3
22406,1,26,1,9,0,1,3,BE24,1.289705347,0,5,2,4,5,4,5,4,4,2,9,9,10,9,10
22407,1,38,5,7,0,1,6,BE24,0.85715235,0,4,4,4,3,4,3,3,4,3,7,7,6,7,6
22408,2,47,3,9,0,1,7,BE24,0.859350418,0,4,3,5,5,4,5,2,3,2,7,9,9,7,7
22501,2,54,2,9,0,1,,BE24,1.287695537,0,4,4,4,4,4,4,4,4,4,8,8,8,8,7
22504,2,24,5,9,0,1,7,BE24,0.862898819,0,5,4,4,4,4,4,2,4,4,8,8,8,8,8
22507,2,43,1,7,0,1,5,BE24,1.287695537,0,5,4,4,4,4,4,4,5,3,7,7,7,5,5
22508,1,51,4,8,0,1,3,BE24,0.85715235,0,3,4,4,4,4,4,4,5,2,8,8,8,7,6
22601,1,74,4,66,0,0,3,BE24,0.854966103,0,5,4,4,4,4,2,2,4,4,8,10,9,5,6
22602,1,80,1,66,0,0,3,BE24,1.28112585,0,4,5,4,5,4,5,4,4,2,9,9,9,6,4
22603,2,15,2,66,0,0,7,BE24,1.293012647,0,4,4,4,4,4,4,4,4,4,8,8,8,8,5
22604,1,36,4,5,1,0,4,BE24,0.85715235,0,4,4,4,4,4,3,4,2,4,8,9,8,8,7
22605,2,48,7,3,1,0,6,BE24,0.855294341,0,4,2,3,2,2,2,1,1,1,4,6,5,5,2
22606,2,29,6,9,0,1,7,BE24,0.858825994,0,4,4,4,3,4,3,2,4,3,8,8,8,8,5
22609,2,58,2,66,0,0,5,BE24,1.284411148,0,4,4,4,3,4,4,4,4,4,8,8,8,6,7
22707,1,54,7,8,0,1,,BE24,0.853106648,0,3,4,4,4,4,4,2,4,2,8,7,7,8,4
22801,2,23,7,66,0,0,7,BE24,0.858825994,0,4,4,4,4,4,3,4,3,4,8,8,8,8,8
22803,2,49,6,9,0,1,4,BE24,0.855294341,0,3,4,5,3,3,2,4,2,3,9,10,10,9,6
22804,2,21,4,9,0,1,3,BE24,0.862898819,0,4,4,2,2,2,2,4,2,4,8,8,8,3,3
22806,1,40,3,6,0,1,3,BE24,0.85715235,0,2,2,4,5,3,5,3,3,2,6,5,7,6,5
22807,2,48,7,8,0,1,8,BE24,0.855294341,0,4,4,4,3,4,4,3,4,4,8,9,8,8,6
22808,2,57,4,8,0,1,2,BE24,0.857158564,0,4,4,5,2,4,4,4,4,2,8,8,8,7,7
22809,2,61,4,8,0,1,5,BE24,0.857158564,0,5,4,5,4,4,4,4,4,4,10,10,10,6,8
22901,1,34,7,7,0,1,4,BE24,0.856629268,0,3,4,4,3,4,3,4,3,5,7,8,8,6,5
22902,2,24,4,4,1,0,6,BE24,0.862898819,0,5,4,4,3,3,3,3,4,3,6,7,6,5,6
22906,2,63,2,66,0,0,2,BE24,1.284411148,0,5,4,4,4,4,4,4,4,4,7,7,7,6,6
22907,1,67,5,66,0,0,6,BE24,0.854966103,0,5,4,4,5,4,3,2,5,4,9,9,9,8,8
22908,2,88,1,66,0,0,2,BE24,1.284411148,0,4,3,4,4,,4,2,2,2,8,8,7,,0
23003,2,69,2,66,0,0,2,BE24,1.284411148,0,2,1,4,1,4,2,3,4,2,5,2,3,0,4
23004,2,84,1,66,0,0,5,BE24,1.284411148,0,2,2,3,4,3,4,,4,4,5,5,5,2,3
23005,2,56,1,7,0,1,5,BE24,1.284411148,0,3,4,4,3,4,4,4,4,2,8,8,8,7,6
23006,2,38,7,5,1,0,6,BE24,0.855294341,0,5,3,3,1,3,3,2,3,2,6,6,6,5,5
23007,2,29,3,5,1,0,4,BE24,0.862898819,0,3,4,4,5,4,4,1,4,3,7,7,7,6,5
23008,2,36,7,5,1,0,8,BE24,0.855294341,0,4,4,4,4,3,3,3,2,3,7,7,8,5,5
23009,2,59,2,7,0,1,9,BE24,1.284411148,0,4,4,4,3,4,4,4,4,2,9,8,9,6,7
23101,1,27,6,6,0,1,1,BE24,0.856629268,0,4,4,4,3,2,3,3,2,3,10,8,7,7,3
23103,2,47,3,66,0,0,5,BE24,0.859350418,0,5,4,4,5,4,4,4,5,4,6,6,6,4,5
23105,2,45,7,7,0,1,6,BE24,0.855294341,0,5,5,4,5,4,4,4,5,4,7,6,6,5,7
23107,2,78,4,66,0,0,5,BE24,0.857158564,0,4,4,4,4,4,4,4,4,4,8,8,9,6,8
23108,2,53,4,8,0,1,7,BE24,0.859350418,0,3,3,3,4,2,3,4,3,4,6,6,7,5,7
23201,2,55,3,66,0,0,4,BE24,0.857158564,0,5,4,4,4,3,4,4,3,4,9,9,8,7,7
23202,2,92,1,66,0,0,5,BE24,1.284411148,0,5,4,4,3,4,5,4,4,4,8,8,8,5,8
23203,1,23,7,66,0,0,9,BE24,0.856629268,0,5,3,4,2,3,4,4,2,4,7,7,7,9,5
23204,2,44,4,8,0,1,5,BE24,0.859350418,0,5,4,4,5,4,4,4,5,4,8,8,9,8,8
23205,2,52,4,7,0,1,7,BE24,0.859350418,0,4,4,4,4,4,5,4,5,4,7,7,7,6,7
23206,1,61,7,8,0,1,8,BE24,0.850930719,0,5,4,4,4,4,4,4,4,4,7,8,7,7,7
23208,1,74,1,66,0,0,1,BE24,1.28112585,0,5,4,5,2,4,4,2,5,2,5,5,5,5,5
23301,2,49,4,8,0,1,7,BE24,0.859350418,0,4,4,4,4,4,4,3,4,3,8,8,8,7,5
23302,2,65,4,66,0,0,,BE24,0.857158564,0,5,4,5,4,4,4,3,5,4,9,9,8,8,5
23305,2,58,1,9,0,1,4,BE24,1.284411148,0,4,4,4,4,4,4,4,4,4,8,8,8,7,7
23306,2,19,4,66,0,0,9,BE24,0.862898819,0,4,4,4,2,4,4,5,2,4,8,7,7,8,7
23307,1,33,5,6,0,1,6,BE24,0.860691675,0,4,3,3,3,4,2,3,3,2,7,7,6,6,6
23308,1,41,2,9,0,1,6,BE24,1.284401837,0,3,5,5,1,4,4,2,3,3,8,7,9,7,6
23309,2,29,6,9,0,1,10,BE24,0.858825994,0,5,4,4,4,4,5,4,5,4,9,9,9,8,8
23402,2,31,6,8,0,1,4,BE24,0.858825994,0,5,4,4,4,4,5,4,4,4,8,8,7,7,8
23404,1,53,3,8,0,1,7,BE24,0.85715235,0,5,4,4,5,4,5,4,4,4,8,8,9,8,7
23405,1,57,2,10,0,1,5,BE24,1.28112585,0,4,4,4,4,4,4,5,4,4,8,8,8,8,7
